timestamp,temperature,ph,turbidity,tds
2026-09-07T16:03:57.150Z,-68.75,5.49,1092.6,-314
2026-09-07T16:04:11.678Z,-68.75,5.48,1091.1,-316.3
2026-09-07T16:04:26.206Z,-68.75,5.49,1091,-316.6
2026-09-07T16:04:41.118Z,-68.75,5.49,1094,-312
2026-09-07T16:04:56.350Z,-68.75,5.47,1090.4,-317.2
2026-09-07T16:05:11.838Z,-68.75,5.46,1094.6,-312.4
2026-09-07T16:05:26.270Z,-68.75,5.5,1090.6,-314.8
2026-09-07T16:05:40.798Z,-68.75,5.48,1094.6,-312.5
2026-09-07T16:05:55.710Z,-68.75,5.46,1093.8,-316.5
2026-09-07T16:06:10.366Z,-68.75,5.41,1090.8,-326.2
2026-09-07T16:06:25.278Z,-68.75,5.43,1093.6,-320.4
2026-09-07T16:06:40.350Z,-68.75,5.45,1091.2,-325.4
2026-09-07T16:06:54.878Z,-68.75,5.45,1091.4,-327.8
2026-09-07T16:07:09.310Z,-64.31,5.43,1091,-374.5
2026-09-07T16:07:23.838Z,-65.69,5.43,1091.2,-362.1
2026-09-07T16:07:38.622Z,-65.12,5.42,1093.4,-358.3
2026-09-07T16:07:53.566Z,-58,5.45,1091,-464.5
2026-09-07T16:08:07.934Z,-60.62,5.41,1093.4,-420.7
2026-09-07T16:08:22.462Z,-61.19,5.44,1091.6,-415.3
2026-09-07T16:08:36.894Z,-57,5.43,1093.6,-486.5
2026-09-07T16:08:51.806Z,-62.19,5.43,1093.6,-400.3
2026-09-07T16:09:06.622Z,-50.31,5.42,1093.3,-678.6
2026-09-07T16:09:21.214Z,-47.94,5.44,1090.6,-780.3
2026-09-07T16:09:35.710Z,-35.94,5.41,1090.8,-2856.8
2026-09-07T16:09:50.142Z,-29.75,5.42,1090,-18743.1
2026-09-07T16:10:05.438Z,-18.38,5.42,1088.4,4132
2026-09-07T16:10:19.998Z,-22.62,5.41,1088.4,88017.5
2026-09-07T16:10:34.590Z,-13.81,5.39,1090,1238.1
2026-09-07T16:10:49.150Z,-10.94,5.36,1092.6,822.4
2026-09-07T16:11:04.190Z,-4.31,5.37,1092.4,493.1
2026-09-07T16:11:18.654Z,-4.88,5.37,1092.4,505.6
2026-09-07T16:11:33.118Z,-2.5,5.37,1092.3,448.2
2026-09-07T16:11:47.390Z,0.38,5.38,1088,398.5
2026-09-07T16:12:01.534Z,1.31,5.37,1089.4,384.2
2026-09-07T16:12:15.710Z,14.19,5.37,1090.7,259.2
2026-09-07T16:12:30.238Z,18.75,5.36,1092,234.3
2026-09-07T16:12:44.318Z,14.81,5.37,1089.4,257.7
2026-09-07T16:12:58.494Z,10.88,5.36,1090.6,284.4
2026-09-07T16:13:12.574Z,17.56,5.36,1089.3,242.4
2026-09-07T16:13:26.718Z,16.38,5.35,1087.8,249.3
2026-09-07T16:13:41.182Z,12.56,5.35,1089.1,273.3
2026-09-07T16:13:55.966Z,-11.75,5.35,1089.6,947.5
2026-09-07T16:14:10.366Z,-33.81,5.34,1092.7,-4604.5
2026-09-07T16:14:24.766Z,-39.62,5.38,1088.8,-1721.3
2026-09-07T16:14:39.198Z,-51.25,5.36,1092.4,-669.7
2026-09-07T16:14:54.782Z,-58.44,5.39,1088.9,-476.3
2026-09-07T16:15:10.398Z,-61,5.38,1089.2,-431.6
2026-09-07T16:15:24.862Z,-58.94,5.37,1093,-460.6
2026-09-07T16:15:39.422Z,-63.19,5.38,1093,-394.8
2026-09-07T16:15:54.110Z,-68.75,5.36,1093.2,-332.3
2026-09-07T16:16:09.310Z,-68.75,5.38,1089,-336
2026-09-07T16:16:23.838Z,-68.75,5.4,1089.4,-333.1
2026-09-07T16:16:39.102Z,-68.75,5.39,1091.4,-337.8
2026-09-07T16:16:54.270Z,-68.75,5.37,1093.1,-330.2
2026-09-07T16:17:08.638Z,-68.75,5.37,1092.5,-334.2
2026-09-07T16:17:23.454Z,-68.75,5.4,1089.4,-332.8
2026-09-07T16:17:37.950Z,-68.75,5.39,1093.2,-331.2
2026-09-07T16:17:52.478Z,-68.75,5.38,1092.8,-333.9
2026-09-07T16:18:07.422Z,-68.75,5.39,1091.1,-329.4
2026-09-07T16:24:32.838Z,-68.75,5.39,1093.4,-330.4
2026-09-07T16:24:48.638Z,-68.75,5.4,1093.4,-328.5
2026-09-07T16:25:13.310Z,-68.75,5.41,1090.2,-329
2026-09-07T16:25:27.902Z,-68.75,5.4,1091,-329
2026-09-07T16:25:42.550Z,-68.75,5.41,1090.9,-328.4
2026-09-07T16:25:57.758Z,-68.75,5.41,1090.4,-329.7
2026-09-07T16:26:12.926Z,-68.75,5.41,1090.2,-331.2
2026-09-07T16:26:27.574Z,-68.75,5.41,1091.5,-328.5
2026-09-07T16:26:42.046Z,-68.75,5.4,1091.6,-326.4
2026-09-07T16:26:57.182Z,-68.75,5.41,1090.8,-334
2026-09-07T16:27:12.158Z,-68.75,5.39,1093.7,-328.9
2026-09-07T16:27:26.686Z,-68.75,5.38,1091.8,-331.6
2026-09-07T16:27:41.822Z,-68.75,5.41,1090.6,-330.8
2026-09-07T16:27:56.382Z,-68.75,5.41,1089.4,-330.6
2026-09-07T16:28:10.878Z,-68.75,5.4,1092.9,-328.1
2026-09-07T16:28:25.854Z,-68.75,5.37,1093.4,-330
2026-09-07T16:28:51.158Z,-68.75,5.42,1090.4,-332.2
2026-09-07T16:37:50.990Z,-68.75,5.46,1091.4,-323
2026-09-07T16:39:01.150Z,-68.75,5.46,1091.6,-323.5
2026-09-07T16:39:37.814Z,-68.75,5.46,1091.4,-325.5
2026-09-07T16:40:03.190Z,-68.75,5.46,1091.6,-325.9
2026-09-07T16:42:18.014Z,-68.75,5.45,1091.2,-323.4
2026-09-07T16:42:33.598Z,-68.75,5.43,1092.9,-325.4
2026-09-07T16:42:48.094Z,-68.75,5.45,1090.8,-327.8
2026-09-07T16:43:03.134Z,-68.75,5.44,1089.8,-324.9
2026-09-07T16:43:17.598Z,-68.75,5.45,1091.8,-327.5
2026-09-07T16:44:34.862Z,-68.75,5.44,1094,-324.9
2026-09-07T16:48:13.406Z,-68.75,5.45,1092.7,-325.1
2026-09-07T16:48:30.174Z,-68.75,5.44,1094.2,-321.4
2026-09-07T16:48:44.606Z,-68.75,5.44,1094.3,-318.4
2026-09-07T16:48:59.358Z,-68.75,5.46,1093.8,-321.8
2026-09-07T16:49:13.822Z,-68.75,5.45,1093.6,-324.8
